MsgType,Symbol,OrderID,Side,OrderType,Price,Quantity,Timestamp
D,BTC-USD,2001,1,2,43250.00,0.5,2024-01-15T00:00:00.000Z
D,BTC-USD,2002,2,2,43260.00,0.3,2024-01-15T00:00:00.050Z
D,ETH-USD,2003,1,2,2250.50,2.0,2024-01-15T00:00:00.100Z
D,BTC-USD,2004,1,2,43245.00,1.0,2024-01-15T00:00:00.150Z
D,BTC-USD,2005,2,2,43255.00,0.7,2024-01-15T00:00:00.200Z
8,BTC-USD,2001,1,2,43255.00,0.5,2024-01-15T00:00:00.250Z
8,BTC-USD,2005,2,2,43255.00,0.5,2024-01-15T00:00:00.300Z
D,SOL-USD,2006,1,2,95.25,10,2024-01-15T00:00:00.350Z
D,BTC-USD,2007,2,2,43265.00,0.2,2024-01-15T00:00:00.400Z
G,BTC-USD,2004,1,2,43250.00,1.5,2024-01-15T00:00:00.450Z
D,DOGE-USD,2008,1,2,0.0789,10000,2024-01-15T00:00:00.500Z
D,BTC-USD,2009,1,2,43240.00,0.8,2024-01-15T00:00:00.550Z
8,BTC-USD,2004,1,2,43260.00,0.3,2024-01-15T00:00:00.600Z
8,BTC-USD,2002,2,2,43260.00,0.3,2024-01-15T00:00:00.650Z
F,BTC-USD,2007,0,0,0,0,2024-01-15T00:00:00.700Z
D,ETH-USD,2010,2,2,2255.00,1.5,2024-01-15T00:00:00.750Z
